Order Id,Order Date,Status,LOINC Code,Barcode,Test Type,Vendor,PCP Name,HICN,Date of Birth
1,2022-01-01,Pending,12345-6,BARCODE-001,Blood Test,ABC Labs,Dr. Smith,A12345678,1980-01-01
2,2022-01-02,Completed,78901-2,BARCODE-002,Urine Test,XYZ Labs,Dr. Johnson,B12345678,1990-02-02
3,2022-01-03,Pending,34567-8,BARCODE-003,Blood Test,ABC Labs,Dr. Smith,C12345678,1985-03-03
4,2022-01-04,Completed,90123-4,BARCODE-004,Urine Test,XYZ Labs,Dr. Johnson,D12345678,1975-04-04
5,2022-01-05,Pending,23456-7,BARCODE-005,Blood Test,ABC Labs,Dr. Smith,E12345678,1995-05-05
6,2022-01-06,Completed,67890-1,BARCODE-006,Urine Test,XYZ Labs,Dr. Johnson,F12345678,1988-06-06
7,2022-01-07,Pending,45678-9,BARCODE-007,Blood Test,ABC Labs,Dr. Smith,G12345678,1993-07-07
8,2022-01-08,Completed,01234-5,BARCODE-008,Urine Test,XYZ Labs,Dr. Johnson,H12345678,1983-08-08
9,2022-01-09,Pending,56789-0,BARCODE-009,Blood Test,ABC Labs,Dr. Smith,I12345678,1970-09-09
10,2022-01-10,Completed,34567-8,BARCODE-010,Urine Test,XYZ Labs,Dr. Johnson,J12345678,1978-10-10
